"3-комн. кв., 110 м², 1/3 этаж",https://kaluga.cian.ru/sale/flat/229889091/,"Калужская область, Калуга, Ленинский, Можайская улица",7 500 000 ₽
"3-комн. кв., 111,5 м², 6/6 этаж",https://kaluga.cian.ru/sale/flat/229358624/,"Калужская область, Калуга, Ленинский, улица Баумана",9 000 000 ₽
"3-комн. кв., 119 м², 5/10 этаж",https://kaluga.cian.ru/sale/flat/229358782/,"Калужская область, Калуга, Ленинский, улица Степана Разина",9 500 000 ₽
"3-комн. кв., 105,1 м², 2/5 этаж",https://kaluga.cian.ru/sale/flat/229358813/,"Калужская область, Калуга, Ленинский, улица Циолковского",9 500 000 ₽
"3-комн. кв., 101 м², 4/4 этаж",https://kaluga.cian.ru/sale/flat/229358819/,"Калужская область, Калуга, Ленинский, улица Академика Королева",10 900 000 ₽
"3-комн. кв., 50 м², 3/5 этаж",https://kaluga.cian.ru/sale/flat/226719624/,"Калужская область, Калуга, Ленинский, мкр. Куровской, улица Мира, 26",1 400 000 ₽
"3-комн. кв., 49,1 м², 5/5 этаж",https://kaluga.cian.ru/sale/flat/229286167/,"Калужская область, Калуга, Ленинский, мкр. Ромодановские Дворики, улица Ромодановские Дворики, 39",2 000 000 ₽
"3-комн. кв., 59 м², 4/5 этаж",https://kaluga.cian.ru/sale/flat/228105526/,"Калужская область, Калуга, Московский, Телевизионная улица, 9",2 380 000 ₽
"3-комн. кв., 59 м², 3/5 этаж",https://kaluga.cian.ru/sale/flat/209213862/,"Калужская область, Калуга, Ленинский, улица Фридриха Энгельса, 80",2 850 000 ₽
"3-комн. кв., 65,9 м², 3/9 этаж",https://kaluga.cian.ru/sale/flat/229316620/,"Калужская область, Калуга, Ленинский, мкр. Правобережье, улица Спартака, 5",2 900 000 ₽
"3-комн. кв., 70 м², 5/9 этаж",https://kaluga.cian.ru/sale/flat/226459387/,"Калужская область, Калуга, Московский, мкр. Байконур, Звездная улица, 11",3 000 000 ₽
"3-комн. кв., 92 м², 1/2 этаж",https://kaluga.cian.ru/sale/flat/229227317/,"Калужская область, Калуга, Ленинский, улица Никитина, 129",3 100 000 ₽
"3-комн. кв., 61,1 м², 4/5 этаж",https://kaluga.cian.ru/sale/flat/225271329/,"Калужская область, Калуга, Ленинский, улица Максима Горького, 51",3 300 000 ₽
"3-комн. кв., 57,5 м², 2/5 этаж",https://kaluga.cian.ru/sale/flat/225901541/,"Калужская область, Калуга, Московский, улица Поле Свободы, 77",3 350 000 ₽
